EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
11X0-0000-0583-H;GODEWIND1;Gode Wind 1 Offshore Wind Farm GmbH & Co. oHG;;;Active;;;DE303916366;Balance Responsible Party;X
11X0-0000-0606-Z;ARTLAND;Food Service Badbergen GmbH & Co.KG;;;Active;;;DE815537535;Balance Responsible Party;X
11X0-0000-0609-Q;METGERMANY;MET GERMANY GmbH;;;Active;;;DE338958774;Balance Responsible Party;X
11X0-0000-0610-C;SEACFUEWAIV;Seac Invest 6 GmbH & Co. KG - FüWa IV;;;Active;;;DE328560692;Balance Responsible Party;X
11X0-0000-0613-3;PURE_TRADING;pure.energy GmbH;;;Active;;;DE319952173;Balance Responsible Party;X
11X0-0000-0614-0;EPSGMBH;E.ON Portfolio Solutions GmbH;;;Active;;;DE339991710;Balance Responsible Party;X
11X0-0000-0615-Y;NATURON;naturon GmbH;;;Active;;;DE332098160;Balance Responsible Party;X
11X0-0000-0616-V;KW_SCHKOPAU;KW Schkopau;;;Active;;;DE180665587;Balance Responsible Party;X
11X0-0000-0618-P;FET;Future Energy Trading;;;Active;;;DE342165273;Balance Responsible Party;X
11X0-0000-0619-M;4D-ENERGY;4D-Energy GmbH;;;Active;;;DE331768026;Balance Responsible Party;X
11X0-0000-0644-P;WARBURG-RD;Redispatchbilanzkreis Stadtwerke Warburg GmbH;;;Active;;;DE814474606;Balance Responsible Party;X
11X0-0000-0652-R;11XSW-FDS-HBK-1;Stadtwerke Freudenstadt GmbH & Co. KG;;;Active;;;DE198399772;Balance Responsible Party;X
11X0-0000-0654-L;MLFF;Meteo-Logic Futures Fund LP.;;;Active;;;CO113418;Balance Responsible Party;X
11X0-0000-0661-Q;IELO;IELO Innovative Energielösungen Oldenburg GmbH;;;Active;;;DE292204346;Balance Responsible Party;X
11X0-0000-0666-B;SW_SCHRAMBERG;Stadtwerke Schramberg;;;Active;;;DE213339125;Balance Responsible Party;X
11X0-0000-0667-8;ENBW_ETZEL;EnBW Etzel Speicher GmbH;;;Active;;;DE263064661;Storage System Operator;X
11X0-0000-0672-J;BREN;BASF Renewable Energy GmbH;;;Active;;;DE348054865;Balance Responsible Party;X
11X0-0000-0681-I;SSWENERGY;SSW Energy Trading GmbH;;;Active;;;DE350528756;Balance Responsible Party;X
11X0-0000-0683-C;JETHER-ENERGY;Jether Energy Research Ltd.;;;Active;;;515107993;Balance Responsible Party;X
